,date,total,admitted,deaths
0,2020-02-27,0,1,0
1,2020-02-28,1,0,0
2,2020-02-29,1,1,0
3,2020-03-01,3,0,0
4,2020-03-02,5,0,0
5,2020-03-03,4,1,0
6,2020-03-04,10,1,0
7,2020-03-05,17,3,0
8,2020-03-06,40,5,0
9,2020-03-07,50,7,1
10,2020-03-08,32,11,1
11,2020-03-09,61,5,1
12,2020-03-10,130,9,0
13,2020-03-11,123,17,1
14,2020-03-12,127,22,0
15,2020-03-13,113,23,2
16,2020-03-14,219,28,4
17,2020-03-15,173,24,7
18,2020-03-16,270,40,4
19,2020-03-17,288,105,17
20,2020-03-18,347,91,15
21,2020-03-19,396,73,23
22,2020-03-20,533,141,28
23,2020-03-21,637,200,30
24,2020-03-22,605,161,44
25,2020-03-23,553,229,32
26,2020-03-24,749,245,62
27,2020-03-25,843,325,76
28,2020-03-26,1007,317,71
29,2020-03-27,1167,339,122
30,2020-03-28,1146,462,89
31,2020-03-29,1092,510,122
32,2020-03-30,874,489,84
33,2020-03-31,836,695,168
34,2020-04-01,1008,495,133
35,2020-04-02,1083,602,155
36,2020-04-03,1020,501,145
37,2020-04-04,1002,363,187
38,2020-04-05,1099,233,103
39,2020-04-06,945,258,91
40,2020-04-07,782,285,231
41,2020-04-08,959,313,157
42,2020-04-09,1209,250,143
43,2020-04-10,1327,211,119
44,2020-04-11,1301,214,142
45,2020-04-12,1171,194,96
46,2020-04-13,959,129,74
47,2020-04-14,862,206,107
48,2020-04-15,730,208,202
49,2020-04-16,1071,169,177
50,2020-04-17,1234,155,153
51,2020-04-18,1187,138,149
52,2020-04-19,1023,101,79
53,2020-04-20,748,79,59
54,2020-04-21,716,117,163
55,2020-04-22,708,129,134
56,2020-04-23,877,132,133
57,2020-04-24,805,126,111
58,2020-04-25,647,101,127
59,2020-04-26,651,80,64
60,2020-04-27,405,61,44
61,2020-04-28,193,90,47
62,2020-04-29,388,80,141
63,2020-04-30,507,91,85
64,2020-05-01,479,78,101
65,2020-05-02,437,99,87
66,2020-05-03,338,42,82
67,2020-05-04,201,32,15
68,2020-05-05,319,84,90
69,2020-05-06,319,25,33
70,2020-05-07,361,35,89
71,2020-05-08,320,70,76
72,2020-05-09,288,60,66
73,2020-05-10,242,26,19
74,2020-05-11,179,29,7
75,2020-05-12,195,41,56
76,2020-05-13,223,60,52
77,2020-05-14,274,29,30
78,2020-05-15,202,37,50
